Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_EDITOR_NAME,DayZ Editor,DayZ Editor,,,,,,,,,,,,,
STR_EDITOR_DESCRIPTION,"The DayZ Editor is a 3D Editing tool built to design areas, create screenshots, or test game mechanics.","The DayZ Editor is a 3D Editing tool built to design areas, create screenshots, or test game mechanics.",,,,,,,,,,,,,
STR_EDITOR_TOOLTIP,DayZ Editor,DayZ Editor,,,,,,,,,,,,,
STR_EDITOR_AUTHOR,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,InclementDab,
,,,,,,,,,,,,,,,
STR_EDITOR_JOIN_DISCORD,Join the Discord!,Join the Discord!,,,,,,,,,,,,,
STR_EDITOR_DONATE_TO_PROJECT,Donate to the Project,Donate to the Project,,,,,,,,,,,,,
STR_EDITOR_OPEN_EDITOR,Open Editor,Open Editor,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STR_EDITOR_STAT_USAGE_TIME,Editor Usage Time,Editor Usage Time,,,,,,,,,,,,,
STR_EDITOR_STAT_ITEMS_PLACED,Items Placed,Items Placed,,,,,,,,,,,,,
STR_EDITOR_STAT_ITEMS_HIDDEN,Items Hidden,Items Hidden,,,,,,,,,,,,,
